,city_name,country,Latitude,Max Temperature,Humidity,Wind Speed (mph),Cloudiness %,Date
902,dakoro,ne,47.48,36.57,94.0,22.26,76.0,2017-12-11
903,rafsanjan,ir,30.41,22.75,43.0,4.36,0.0,2017-12-11
905,abalak,ne,15.45,56.01,60.0,2.91,8.0,2017-12-11
906,sibolga,id,1.74,66.85,100.0,1.9,92.0,2017-12-11
909,norrtalje,se,47.38,-25.81,35.0,2.91,12.0,2017-12-11
910,sorland,no,60.34,-17.12,73.0,5.37,64.0,2017-12-11
911,imeni poliny osipenko,ru,52.42,-2.09,71.0,8.16,88.0,2017-12-11
912,zhigansk,ru,66.77,-35.44,68.0,5.59,32.0,2017-12-11
915,nizwa,om,63.76,-34.04,63.0,3.02,36.0,2017-12-11
916,ngaoundere,cm,7.32,65.28,53.0,7.16,12.0,2017-12-11
920,toktogul,kg,41.87,-2.41,74.0,1.68,0.0,2017-12-11
921,suez,eg,29.97,45.39,80.0,2.68,36.0,2017-12-11
923,gigmoto,ph,36.98,41.0,60.0,6.93,0.0,2017-12-11
925,mbandaka,cd,4.96,78.8,74.0,5.7,0.0,2017-12-11
927,yangjiang,cn,13.51,77.0,17.0,3.36,0.0,2017-12-11
930,daltenganj,in,24.03,55.65,82.0,2.68,0.0,2017-12-11
932,leningradskiy,ru,69.38,8.8,95.0,25.61,56.0,2017-12-11
934,sistranda,no,41.65,26.6,92.0,2.24,0.0,2017-12-11
935,bellary,in,52.98,-35.98,64.0,2.46,0.0,2017-12-11
936,filingue,ne,14.35,62.31,34.0,7.38,0.0,2017-12-11
939,zhuhai,cn,22.28,66.2,68.0,11.41,0.0,2017-12-11
941,ginda,er,28.17,54.16,79.0,2.13,0.0,2017-12-11
944,nadvoitsy,ru,9.28,73.29,100.0,2.68,88.0,2017-12-11
946,maku,ir,51.32,28.96,90.0,10.18,92.0,2017-12-11
947,hof,no,59.53,28.4,86.0,13.87,75.0,2017-12-11
951,jian,cn,27.12,38.05,78.0,3.13,48.0,2017-12-11
953,eskasem,af,50.37,-9.92,74.0,2.24,64.0,2017-12-11
959,gilgit,pk,53.88,11.73,82.0,5.14,76.0,2017-12-11
962,paldiski,ee,51.84,32.79,94.0,10.18,92.0,2017-12-11
965,aktau,kz,43.65,37.4,86.0,8.95,0.0,2017-12-11
966,ko samui,th,48.68,9.61,87.0,3.36,68.0,2017-12-11
967,baoding,cn,38.85,6.96,71.0,2.57,0.0,2017-12-11
969,singapore,sg,1.29,78.8,94.0,9.4,75.0,2017-12-11
970,sawakin,sd,30.06,48.58,95.0,3.36,0.0,2017-12-11
972,shahr-e babak,ir,30.12,25.59,56.0,2.24,0.0,2017-12-11
973,makarov,ru,48.63,28.33,100.0,22.7,92.0,2017-12-11
976,poltavka,ru,54.37,13.44,88.0,3.91,76.0,2017-12-11
977,mnogovershinnyy,ru,53.94,14.07,78.0,12.19,88.0,2017-12-11
978,venosa,it,40.96,44.6,65.0,12.41,0.0,2017-12-11
982,kvarkeno,ru,51.15,44.6,75.0,13.87,0.0,2017-12-11
983,cabra,ph,13.89,82.02,100.0,23.71,20.0,2017-12-11
984,gorno-altaysk,ru,5.18,81.48,100.0,3.47,68.0,2017-12-11
985,roros,no,62.57,15.8,92.0,2.24,44.0,2017-12-11
986,labytnangi,ru,52.03,35.6,100.0,5.82,0.0,2017-12-11
987,dumka,in,24.27,61.77,88.0,2.57,0.0,2017-12-11
991,manavalakurichi,in,8.13,80.6,88.0,3.36,40.0,2017-12-11
992,bolu,tr,40.67,22.03,83.0,2.13,0.0,2017-12-11
993,tahta,eg,26.77,62.6,45.0,4.7,0.0,2017-12-11
994,ust-tsilma,ru,65.44,11.05,72.0,6.82,8.0,2017-12-11
998,aflu,dz,43.3,19.74,81.0,3.13,8.0,2017-12-11
999,verkhniy lomov,ru,33.63,30.72,54.0,9.73,68.0,2017-12-11
4,iquique,cl,-20.22,69.8,56.0,11.41,20.0,2017-12-11
5,mazagao,br,-0.12,93.2,52.0,11.41,20.0,2017-12-11
6,conde,br,-7.26,84.2,66.0,9.17,20.0,2017-12-11
18,calama,cl,-22.47,77.0,5.0,32.21,0.0,2017-12-11
20,riachao das neves,br,-11.75,78.24,75.0,5.82,56.0,2017-12-11
24,illapel,cl,-31.63,63.61,83.0,3.47,80.0,2017-12-11
27,fare,pf,-16.7,83.46,95.0,6.93,20.0,2017-12-11
78,casa nova,br,-9.42,84.2,66.0,4.7,75.0,2017-12-11
79,aquiraz,br,-3.9,86.0,62.0,13.87,20.0,2017-12-11
87,rio pomba,br,-21.27,75.2,73.0,10.29,75.0,2017-12-11
100,olavarria,ar,-36.89,74.01,44.0,8.61,0.0,2017-12-11
102,lima,pe,-12.04,68.38,57.0,2.68,20.0,2017-12-11
104,mercedes,ar,-34.65,79.18,32.0,7.49,0.0,2017-12-11
125,medina,br,-16.22,73.65,84.0,8.05,88.0,2017-12-11
131,santa rosa,bo,-14.17,89.6,62.0,3.24,75.0,2017-12-11
150,rurrenabaque,bo,-14.44,89.6,70.0,2.68,75.0,2017-12-11
164,san carlos de bariloche,ar,-41.15,82.4,21.0,27.51,0.0,2017-12-11
168,rocha,uy,-34.48,69.87,40.0,10.29,0.0,2017-12-11
176,camana,pe,-16.62,65.64,100.0,7.16,0.0,2017-12-11
179,ilhabela,br,-23.78,74.1,100.0,7.94,36.0,2017-12-11
185,santa ines,br,-3.67,84.85,64.0,5.14,48.0,2017-12-11
186,linhares,br,-19.39,80.08,88.0,3.69,88.0,2017-12-11
190,cabedelo,br,-6.98,84.2,66.0,9.17,20.0,2017-12-11
204,el alto,pe,-4.27,80.6,57.0,17.22,0.0,2017-12-11
207,natal,br,-5.79,84.2,70.0,10.29,20.0,2017-12-11
213,touros,br,-5.2,80.85,80.0,9.73,44.0,2017-12-11
224,talara,pe,-4.58,80.6,57.0,17.22,0.0,2017-12-11
229,arica,cl,-18.48,73.4,56.0,10.29,0.0,2017-12-11
239,vila velha,br,-20.33,82.4,88.0,4.7,75.0,2017-12-11
260,tome-acu,br,-43.3,80.53,47.0,21.94,76.0,2017-12-11
261,porto belo,br,-27.16,77.0,65.0,20.8,20.0,2017-12-11
275,santa branca,br,-23.4,82.4,69.0,19.46,40.0,2017-12-11
276,tevaitoa,pf,-16.78,83.46,95.0,6.93,20.0,2017-12-11
287,carutapera,br,-1.2,83.05,74.0,12.08,36.0,2017-12-11
290,barra,br,-11.09,79.81,81.0,2.68,68.0,2017-12-11
294,halalo,wf,-9.84,88.9,46.0,6.17,68.0,2017-12-11
301,pitimbu,br,-7.47,84.2,66.0,9.17,20.0,2017-12-11
335,olinda,br,-8.01,82.4,74.0,10.29,0.0,2017-12-11
340,lincoln,ar,-34.87,78.46,34.0,8.39,0.0,2017-12-11
343,maceio,br,-9.67,86.0,62.0,19.46,0.0,2017-12-11
345,riberalta,bo,-10.98,84.2,74.0,6.93,75.0,2017-12-11
357,diego de almagro,cl,-26.37,72.93,48.0,4.36,0.0,2017-12-11
372,inhumas,br,-16.36,77.0,65.0,10.29,40.0,2017-12-11
373,eirunepe,br,-6.66,72.16,98.0,5.14,92.0,2017-12-11
383,tefe,br,-3.35,77.0,94.0,4.7,75.0,2017-12-11
386,axim,gh,4.87,82.15,100.0,7.38,12.0,2017-12-11
396,vallenar,cl,-28.57,70.59,72.0,3.02,12.0,2017-12-11
416,rio tercero,ar,-32.17,77.79,46.0,11.18,12.0,2017-12-11
444,joao pinheiro,br,-17.74,76.03,81.0,6.6,88.0,2017-12-11
465,tupiza,bo,-21.45,47.41,90.0,1.34,92.0,2017-12-11
494,pacasmayo,pe,-7.4,63.84,92.0,14.99,12.0,2017-12-11
502,karaul,ru,18.69,58.66,40.0,3.6,20.0,2017-12-11
503,gari,ru,59.43,8.49,89.0,2.57,64.0,2017-12-11
507,brae,gb,60.4,37.4,99.0,1.12,20.0,2017-12-11
511,teguldet,ru,57.31,14.43,90.0,2.68,88.0,2017-12-11
513,idah,ng,7.11,77.38,68.0,2.13,8.0,2017-12-11
514,bardoli,in,21.12,60.46,90.0,1.01,0.0,2017-12-11
515,fukuma,jp,33.77,39.2,48.0,17.22,75.0,2017-12-11
517,namatanai,pg,-3.67,79.86,100.0,8.16,92.0,2017-12-11
520,suhbaatar,mn,50.23,-14.2,60.0,3.13,8.0,2017-12-11
524,mogadishu,so,2.04,80.35,98.0,23.94,8.0,2017-12-11
526,bandar-e lengeh,ir,26.56,64.4,63.0,21.03,0.0,2017-12-11
530,nichinan,jp,31.6,42.8,60.0,3.36,75.0,2017-12-11
531,vinh,vn,18.67,60.46,100.0,5.59,88.0,2017-12-11
534,zhigalovo,ru,54.81,-34.22,58.0,2.13,0.0,2017-12-11
535,puksoozero,ru,62.59,29.41,91.0,14.65,88.0,2017-12-11
536,bedele,et,8.46,49.75,72.0,2.46,0.0,2017-12-11
537,karpogory,ru,64.0,26.04,82.0,7.61,88.0,2017-12-11
539,tilichiki,ru,60.47,-16.27,72.0,3.13,12.0,2017-12-11
540,cotonou,bj,6.37,82.4,58.0,4.7,20.0,2017-12-11
543,gravdal,no,68.12,37.4,80.0,4.7,75.0,2017-12-11
545,kousseri,cm,12.08,77.0,27.0,3.36,0.0,2017-12-11
547,porbandar,in,21.64,65.46,84.0,10.18,0.0,2017-12-11
550,hambantota,lk,6.12,78.15,100.0,2.46,88.0,2017-12-11
553,tessaoua,ne,13.76,64.06,35.0,8.61,0.0,2017-12-11
554,thonon-les-bains,fr,46.37,39.2,93.0,10.29,75.0,2017-12-11
555,pyaozerskiy,ru,65.83,26.13,93.0,2.35,92.0,2017-12-11
556,nagato,jp,34.38,37.4,55.0,18.34,75.0,2017-12-11
558,phan rang,vn,71.97,-31.21,53.0,5.14,20.0,2017-12-11
559,dandong,cn,40.13,-3.22,76.0,5.7,0.0,2017-12-11
561,uglovskoye,ru,51.36,14.56,89.0,7.83,68.0,2017-12-11
562,shadegan,ir,30.65,50.0,57.0,9.17,0.0,2017-12-11
566,ola,ru,59.58,10.4,85.0,2.24,90.0,2017-12-11
567,ust-maya,ru,60.42,-45.61,0.0,3.91,48.0,2017-12-11
569,bassila,bj,9.01,72.84,39.0,7.16,0.0,2017-12-11
571,ibra,om,22.69,43.5,90.0,1.57,0.0,2017-12-11
572,luang prabang,la,23.35,58.48,95.0,6.49,8.0,2017-12-11
574,ileza,ru,61.05,23.7,89.0,13.76,80.0,2017-12-11
575,irbit,ru,57.67,9.57,84.0,3.13,80.0,2017-12-11
577,harnosand,se,62.63,28.4,100.0,4.7,75.0,2017-12-11
579,andenes,no,69.31,28.4,74.0,13.87,0.0,2017-12-11
582,szczecin,pl,53.43,39.2,93.0,13.87,20.0,2017-12-11
583,keti bandar,pk,24.14,73.06,93.0,9.4,0.0,2017-12-11
585,baghdad,iq,33.34,46.4,49.0,8.05,0.0,2017-12-11
588,ugoofaaru,mv,5.67,81.57,100.0,5.7,56.0,2017-12-11
593,aktas,kz,52.43,31.3,95.0,10.63,76.0,2017-12-11
595,jiblah,ye,13.92,33.33,84.0,1.57,0.0,2017-12-11
599,gangapur,in,26.48,57.0,95.0,3.69,12.0,2017-12-11
600,kushalgarh,in,23.2,60.51,93.0,4.36,12.0,2017-12-11
602,jinji,cn,23.23,54.43,75.0,2.8,88.0,2017-12-11
603,tanjung morawa,id,58.28,30.72,99.0,10.96,92.0,2017-12-11
605,hamina,fi,60.57,28.4,86.0,8.05,75.0,2017-12-11
606,shaoyang,cn,5.89,81.12,100.0,4.36,44.0,2017-12-11
607,zhangzhou,cn,24.51,59.0,47.0,13.42,0.0,2017-12-11
609,pak phanang,th,8.35,77.43,100.0,4.03,12.0,2017-12-11
611,calabar,ng,4.95,79.63,86.0,5.7,48.0,2017-12-11
612,neyshabur,ir,36.21,17.4,64.0,2.35,0.0,2017-12-11
613,waw,sd,52.5,16.45,88.0,7.05,76.0,2017-12-11
615,sinegorye,ru,62.08,-19.33,76.0,2.13,68.0,2017-12-11
617,bilibino,ru,68.05,-16.09,69.0,2.46,56.0,2017-12-11
623,lapua,fi,62.92,30.2,92.0,6.93,90.0,2017-12-11
624,yerbogachen,ru,61.28,-19.82,85.0,6.15,76.0,2017-12-11
631,ivankiv,ua,50.94,33.8,86.0,8.95,88.0,2017-12-11
632,alghero,it,40.56,64.4,59.0,27.51,0.0,2017-12-11
634,syumsi,ru,57.11,5.43,84.0,6.82,80.0,2017-12-11
635,fukue,jp,32.69,52.36,100.0,26.17,48.0,2017-12-11
638,ayan,ru,56.45,-15.05,100.0,15.43,88.0,2017-12-11
642,krasnovka,ru,48.82,38.19,92.0,11.52,80.0,2017-12-11
646,pokrovsk,ru,61.48,-39.4,0.0,3.13,12.0,2017-12-11
647,rairangpur,in,63.28,-28.78,47.0,4.92,44.0,2017-12-11
648,nenjiang,cn,49.18,-8.3,63.0,12.97,8.0,2017-12-11
652,caruray,ph,10.31,79.36,100.0,4.59,36.0,2017-12-11
654,koscian,pl,52.09,42.8,87.0,11.41,0.0,2017-12-11
655,simbahan,ph,6.3,83.95,100.0,5.48,0.0,2017-12-11
656,kloulklubed,pw,7.04,82.4,83.0,11.41,75.0,2017-12-11
657,hovd,mn,48.01,-11.09,62.0,0.78,20.0,2017-12-11
658,ishim,ru,56.11,15.87,90.0,4.92,88.0,2017-12-11
660,itoman,jp,26.12,62.6,55.0,12.75,75.0,2017-12-11
661,vilnius,lt,54.69,33.8,97.0,13.87,75.0,2017-12-11
670,abatskoye,ru,56.29,14.65,90.0,3.36,88.0,2017-12-11
672,cam ranh,vn,11.92,71.98,100.0,9.95,64.0,2017-12-11
674,kayan,mm,16.91,75.0,97.0,7.16,0.0,2017-12-11
675,nemuro,jp,43.32,37.33,100.0,28.52,80.0,2017-12-11
677,luorong,cn,24.41,50.52,66.0,3.36,76.0,2017-12-11
678,hun,ly,29.13,38.95,76.0,3.91,0.0,2017-12-11
682,batsfjord,no,70.63,32.0,100.0,20.8,75.0,2017-12-11
684,korla,cn,41.76,14.38,74.0,2.35,68.0,2017-12-11
685,rapar,in,23.57,58.26,78.0,3.36,0.0,2017-12-11
686,kozhva,ru,65.11,8.31,74.0,8.39,44.0,2017-12-11
688,kapoeta,sd,61.67,-11.99,74.0,3.69,80.0,2017-12-11
689,gushikawa,jp,26.35,62.6,67.0,4.7,40.0,2017-12-11
691,kashary,ru,49.04,35.35,93.0,11.97,92.0,2017-12-11
692,khanpur,pk,28.65,46.92,92.0,2.91,0.0,2017-12-11
695,jiaozuo,cn,35.24,23.52,58.0,3.36,92.0,2017-12-11
696,ha giang,vn,22.83,52.14,100.0,1.79,92.0,2017-12-11
700,dubai,ae,25.26,73.4,60.0,8.05,20.0,2017-12-11
701,wum,cm,6.38,74.28,37.0,3.69,32.0,2017-12-11
703,altea,es,38.6,46.4,65.0,4.7,0.0,2017-12-11
705,klembivka,ua,48.39,36.84,86.0,10.4,36.0,2017-12-11
708,kedrovyy,ru,56.17,12.2,92.0,1.45,90.0,2017-12-11
710,bogorodsk,ru,56.1,33.8,93.0,8.95,90.0,2017-12-11
717,sembe,cg,1.65,71.85,96.0,2.57,32.0,2017-12-11
718,nadym,ru,65.53,4.93,79.0,8.5,80.0,2017-12-11
721,proletarskiy,ru,50.79,35.6,100.0,8.95,90.0,2017-12-11
722,teya,ru,60.38,2.64,74.0,2.68,68.0,2017-12-11
723,sigli,id,5.38,75.81,99.0,2.35,12.0,2017-12-11
724,aswan,eg,24.09,71.6,37.0,4.7,0.0,2017-12-11
725,mangan,in,27.52,14.65,64.0,1.01,0.0,2017-12-11
726,sarkand,kz,45.41,9.61,72.0,2.57,8.0,2017-12-11
728,leshukonskoye,ru,64.9,24.87,79.0,7.61,88.0,2017-12-11
733,mut,tr,36.64,28.33,70.0,2.35,20.0,2017-12-11
736,ust-kut,ru,56.79,-37.33,71.0,2.35,12.0,2017-12-11
740,podgornoye,ru,51.73,35.6,80.0,8.95,40.0,2017-12-11
744,xinan,cn,26.72,44.31,91.0,7.05,80.0,2017-12-11
748,rybnaya sloboda,ru,55.46,24.8,92.0,13.42,90.0,2017-12-11
759,sauda,no,59.65,32.0,100.0,8.05,0.0,2017-12-11
760,bhadasar,in,28.28,57.76,99.0,5.26,92.0,2017-12-11
761,bombay,in,50.41,9.88,75.0,7.4,64.0,2017-12-11
764,kushiro,jp,42.98,28.29,94.0,7.27,8.0,2017-12-11
768,erzin,ru,50.26,-6.73,75.0,2.24,44.0,2017-12-11
771,changping,cn,40.22,19.4,28.0,6.71,0.0,2017-12-11
775,deputatskiy,ru,69.3,-39.76,82.0,2.68,20.0,2017-12-11
777,puri,in,19.8,71.6,94.0,2.24,0.0,2017-12-11
780,toyoshina,jp,36.3,27.75,62.0,6.15,80.0,2017-12-11
782,novobirilyussy,ru,56.95,9.48,83.0,3.36,88.0,2017-12-11
783,sparti,gr,37.07,46.4,87.0,1.68,20.0,2017-12-11
789,folldal,no,62.13,-9.7,45.0,2.13,12.0,2017-12-11
792,qianjiang,cn,34.67,47.37,100.0,32.77,0.0,2017-12-11
796,taman,ru,45.21,50.0,87.0,24.61,8.0,2017-12-11
797,mangrol,in,21.12,65.5,95.0,9.62,0.0,2017-12-11
798,anar darreh,af,69.41,-1.6,82.0,7.49,76.0,2017-12-11
799,buluang,ph,13.31,74.41,100.0,2.57,56.0,2017-12-11
801,pischia,ro,45.9,50.0,57.0,14.99,0.0,2017-12-11
804,huilong,cn,31.81,40.75,100.0,12.19,48.0,2017-12-11
805,sai buri,th,6.7,72.43,97.0,2.24,88.0,2017-12-11
806,debre tabor,et,11.85,46.78,33.0,3.8,0.0,2017-12-11
807,jabinyanah,tn,35.03,51.8,71.0,6.93,0.0,2017-12-11
808,great yarmouth,gb,52.61,39.2,80.0,10.29,40.0,2017-12-11
813,sabha,ly,27.04,43.86,76.0,6.38,0.0,2017-12-11
815,karacabey,tr,40.22,53.8,91.0,8.72,36.0,2017-12-11
816,gelgaudiskis,lt,55.08,35.94,94.0,12.64,36.0,2017-12-11
819,pingliang,cn,35.54,15.87,75.0,2.68,32.0,2017-12-11
823,katghora,in,22.5,51.28,79.0,2.68,0.0,2017-12-11
825,adilcevaz,tr,38.8,26.6,73.0,4.7,20.0,2017-12-11
828,jalu,ly,27.72,50.0,93.0,2.24,20.0,2017-12-11
829,talant,fr,47.34,46.4,65.0,18.34,90.0,2017-12-11
833,batticaloa,lk,7.71,75.63,100.0,3.47,88.0,2017-12-11
839,malaryta,by,51.79,45.12,95.0,18.23,92.0,2017-12-11
840,chegdomyn,ru,51.12,-14.56,61.0,3.47,56.0,2017-12-11
841,furstenfeld,at,47.05,42.8,93.0,3.36,75.0,2017-12-11
844,alugan,ph,12.22,77.2,100.0,3.91,88.0,2017-12-11
845,aleksandrov,ru,56.4,28.06,95.0,4.92,92.0,2017-12-11
848,bintulu,my,3.17,77.0,100.0,2.24,90.0,2017-12-11
850,huaicheng,cn,23.91,49.44,75.0,2.57,76.0,2017-12-11
855,sorong,id,-0.88,82.47,100.0,11.63,56.0,2017-12-11
857,sangar,ru,63.92,-46.64,0.0,1.68,0.0,2017-12-11
858,xinxiang,cn,35.31,25.77,49.0,8.72,80.0,2017-12-11
859,san roque,ph,15.01,77.0,83.0,9.17,75.0,2017-12-11
861,chumikan,ru,54.72,-7.67,62.0,11.07,80.0,2017-12-11
862,genhe,cn,50.78,-26.08,36.0,6.38,0.0,2017-12-11
863,svetlogorsk,ru,54.94,37.4,93.0,8.95,40.0,2017-12-11
864,pandavapura,in,12.5,63.88,88.0,2.35,8.0,2017-12-11
865,sheregesh,ru,52.92,6.73,74.0,2.24,76.0,2017-12-11
868,umm kaddadah,sd,13.6,61.63,58.0,2.91,0.0,2017-12-11
869,wasserbillig,lu,49.71,46.4,86.0,20.8,75.0,2017-12-11
874,porto torres,it,40.84,64.4,59.0,27.51,0.0,2017-12-11
875,glowno,pl,51.96,42.8,81.0,6.93,0.0,2017-12-11
877,najran,sa,17.49,50.0,18.0,1.23,0.0,2017-12-11
882,cuddapah,in,14.47,63.7,87.0,3.36,0.0,2017-12-11
884,porkhov,ru,57.77,26.6,92.0,6.71,80.0,2017-12-11
886,klyuchi,ru,52.27,15.42,91.0,5.7,68.0,2017-12-11
888,dehloran,ir,32.69,34.9,76.0,3.58,0.0,2017-12-11
891,safwah,sa,-2.67,82.83,100.0,10.18,20.0,2017-12-11
892,sarakhs,ir,36.54,32.0,81.0,2.24,0.0,2017-12-11
895,vestbygda,no,53.3,4.21,62.0,2.91,36.0,2017-12-11
897,miri,my,4.41,77.0,94.0,1.12,75.0,2017-12-11
898,tupik,ru,54.43,-32.47,52.0,2.46,0.0,2017-12-11
902,avallon,fr,47.48,36.57,94.0,22.26,76.0,2017-12-11
904,arkadak,ru,51.93,28.33,92.0,11.18,88.0,2017-12-11
909,moron,mn,47.38,-25.81,35.0,2.91,12.0,2017-12-11
910,vanavara,ru,60.34,-17.12,73.0,5.37,64.0,2017-12-11
911,novoilinsk,ru,52.42,-2.09,71.0,8.16,88.0,2017-12-11
915,vilyuysk,ru,63.76,-34.04,63.0,3.02,36.0,2017-12-11
917,okhotsk,ru,59.38,8.58,100.0,9.62,88.0,2017-12-11
921,heyang,cn,29.97,45.39,80.0,2.68,36.0,2017-12-11
922,kamaishi,jp,39.27,32.34,100.0,7.49,64.0,2017-12-11
923,suruc,tr,36.98,41.0,60.0,6.93,0.0,2017-12-11
924,ulaangom,mn,49.98,-10.15,57.0,1.68,68.0,2017-12-11
925,damara,cf,4.96,78.8,74.0,5.7,0.0,2017-12-11
927,niamey,ne,13.51,77.0,17.0,3.36,0.0,2017-12-11
931,shimanovsk,ru,52.0,-6.37,57.0,7.05,20.0,2017-12-11
934,caska,mk,41.65,26.6,92.0,2.24,0.0,2017-12-11
935,bukachacha,ru,52.98,-35.98,64.0,2.46,0.0,2017-12-11
938,verkhnevilyuysk,ru,63.45,-30.13,50.0,4.47,48.0,2017-12-11
940,gurun,my,5.82,78.8,83.0,3.36,75.0,2017-12-11
941,along,in,28.17,54.16,79.0,2.13,0.0,2017-12-11
944,cortes,ph,9.28,73.29,100.0,2.68,88.0,2017-12-11
945,ouallam,ne,14.32,60.96,35.0,5.82,8.0,2017-12-11
946,kamenka,ru,51.32,28.96,90.0,10.18,92.0,2017-12-11
948,tokur,ru,53.13,-30.49,46.0,2.35,24.0,2017-12-11
953,zakamensk,ru,50.37,-9.92,74.0,2.24,64.0,2017-12-11
954,yunhe,cn,34.08,34.32,75.0,11.52,80.0,2017-12-11
956,aksu,kz,42.42,10.4,92.0,4.47,12.0,2017-12-11
957,mashhad,ir,36.3,35.6,55.0,4.7,0.0,2017-12-11
959,sergeyevka,kz,53.88,11.73,82.0,5.14,76.0,2017-12-11
960,quzhou,cn,28.96,23.65,67.0,4.03,0.0,2017-12-11
961,itzehoe,de,53.92,33.8,99.0,13.87,75.0,2017-12-11
962,kshenskiy,ru,51.84,32.79,94.0,10.18,92.0,2017-12-11
964,ayorou,ne,14.73,60.69,25.0,8.72,20.0,2017-12-11
966,atasu,kz,48.68,9.61,87.0,3.36,68.0,2017-12-11
970,dera ghazi khan,pk,30.06,48.58,95.0,3.36,0.0,2017-12-11
973,sinjah,sd,48.63,28.33,100.0,22.7,92.0,2017-12-11
975,yumen,cn,40.28,15.87,66.0,6.26,76.0,2017-12-11
980,ahmadpur east,pk,29.14,48.72,94.0,5.14,8.0,2017-12-11
982,sommerda,de,51.15,44.6,75.0,13.87,0.0,2017-12-11
984,lhokseumawe,id,5.18,81.48,100.0,3.47,68.0,2017-12-11
986,oschersleben,de,52.03,35.6,100.0,5.82,0.0,2017-12-11
988,kalat,pk,29.02,18.12,67.0,4.92,0.0,2017-12-11
991,dalneye konstantinovo,ru,8.13,80.6,88.0,3.36,40.0,2017-12-11
995,rovinj,hr,45.08,62.6,77.0,12.75,20.0,2017-12-11
996,serov,ru,59.6,6.87,79.0,2.35,56.0,2017-12-11
998,zhanaozen,kz,43.3,19.74,81.0,3.13,8.0,2017-12-11
999,zhoukou,cn,33.63,30.72,54.0,9.73,68.0,2017-12-11
